検査ID,状態,定期検査名称,検査補足名称,検査基準日,検査設備ID,定期検査ひな型ID,基準期間ID,表示用基準期間,許容期間,許容期間単位,臨時_基準期間ID,表示用基準期間臨時,許容期間臨時,許容期間単位臨時,実施主体,実施事業者1,実施事業者1名称,実施事業者2,実施事業者2名称,他区検査依頼,依頼先他区,依頼先他区所管区名称1,依頼先他区所管区名称2,他区検査依頼内容,申請順番,変更理由ID,基準期間_変更理由_ひな型,基準期間_変更理由,申請日時,補足,系統変更番号,計画策定に関する備考,承認に関する備考,作業時間帯,検査休止フラグ,検査休止期間_開始,検査休止期間_終了,検査廃止フラグ,検査廃止日,検査設備名,設置場所ID,場所名称,設置場所_計画表示用,所管区ID,所管区名称1,所管区名称2,設備カテゴリID,組織区分,レベル1,レベル2,レベル3,レベル4,レベル5,休止フラグ,休止期間_開始日,休止期間_終了日,廃止フラグ,廃止日,直営保守,定期検査ひな型名称,設備全般検査フラグ,作業コード名称,定期検査ひな型補足,検査名称,路線名称,変更理由,実施基準対象検査内容フラグ,長期使用フラグ,表示順,論理削除フラグ,更新日時,更新者ID,氏名
10593,2,受送・配電線路設備（設備全般）_2か月検査_和光車両基地（徒歩巡回）,NULL,2008/01/15,7572,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_和光車両基地（徒歩巡回）_有楽町・副都心線電機区,6,有楽町・副都心線,和光車両基地（徒歩巡回）,60,鉄道本部電気部電機区,有楽町・副都心線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,有楽町・副都心線,NULL,NULL,NULL,10593,0,2023-04-01 00:00:00.000,1,NULL
10594,2,受送・配電線路設備（設備全般）_2か月検査_Ａ線和光基地～和光市駅（徒歩巡回）,NULL,2019/01/17,7573,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_Ａ線和光基地～和光市駅（徒歩巡回）_有楽町・副都心線電機区,6,有楽町・副都心線,Ａ線和光基地～和光市駅（徒歩巡回）,60,鉄道本部電気部電機区,有楽町・副都心線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,有楽町・副都心線,NULL,NULL,NULL,10594,0,2023-04-01 00:00:00.000,1,NULL
10595,2,受送・配電線路設備（設備全般）_2か月検査_Ａ線和光市～成増坑口（徒歩巡回）,NULL,2019/01/17,7574,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_Ａ線和光市～成増坑口（徒歩巡回）_有楽町・副都心線電機区,6,有楽町・副都心線,Ａ線和光市～成増坑口（徒歩巡回）,60,鉄道本部電気部電機区,有楽町・副都心線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,有楽町・副都心線,NULL,NULL,NULL,10595,0,2023-04-01 00:00:00.000,1,NULL
10596,2,受送・配電線路設備（設備全般）_2か月検査_Ａ線辰巳坑口～新木場駅（徒歩巡回）,NULL,2019/01/05,7575,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_Ａ線辰巳坑口～新木場駅（徒歩巡回）_有楽町・副都心線電機区,6,有楽町・副都心線,Ａ線辰巳坑口～新木場駅（徒歩巡回）,60,鉄道本部電気部電機区,有楽町・副都心線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,有楽町・副都心線,NULL,NULL,NULL,10596,0,2023-04-01 00:00:00.000,1,NULL
10597,2,受送・配電線路設備（設備全般）_2か月検査_Ａ線新木場～新木場基地（徒歩巡回）,NULL,2019/01/18,7576,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_Ａ線新木場～新木場基地（徒歩巡回）_有楽町・副都心線電機区,6,有楽町・副都心線,Ａ線新木場～新木場基地（徒歩巡回）,60,鉄道本部電気部電機区,有楽町・副都心線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,有楽町・副都心線,NULL,NULL,NULL,10597,0,2023-04-01 00:00:00.000,1,NULL
10598,2,受送・配電線路設備（設備全般）_2か月検査_Ｂ線和光基地～和光市駅（徒歩巡回）,NULL,2019/01/17,7577,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_Ｂ線和光基地～和光市駅（徒歩巡回）_有楽町・副都心線電機区,6,有楽町・副都心線,Ｂ線和光基地～和光市駅（徒歩巡回）,60,鉄道本部電気部電機区,有楽町・副都心線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,有楽町・副都心線,NULL,NULL,NULL,10598,0,2023-04-01 00:00:00.000,1,NULL
10599,2,受送・配電線路設備（設備全般）_2か月検査_Ｂ線和光市～成増坑口（徒歩巡回）,NULL,2019/01/17,7578,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_Ｂ線和光市～成増坑口（徒歩巡回）_有楽町・副都心線電機区,6,有楽町・副都心線,Ｂ線和光市～成増坑口（徒歩巡回）,60,鉄道本部電気部電機区,有楽町・副都心線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,有楽町・副都心線,NULL,NULL,NULL,10599,0,2023-04-01 00:00:00.000,1,NULL
10600,2,受送・配電線路設備（設備全般）_2か月検査_Ｂ線辰巳坑口～新木場駅（徒歩巡回）,NULL,2019/01/06,7579,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_Ｂ線辰巳坑口～新木場駅（徒歩巡回）_有楽町・副都心線電機区,6,有楽町・副都心線,Ｂ線辰巳坑口～新木場駅（徒歩巡回）,60,鉄道本部電気部電機区,有楽町・副都心線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,有楽町・副都心線,NULL,NULL,NULL,10600,0,2023-04-01 00:00:00.000,1,NULL
10601,2,受送・配電線路設備（設備全般）_2か月検査_Ｂ線新木場～新木場基地（徒歩巡回）,NULL,2019/01/18,7580,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_Ｂ線新木場～新木場基地（徒歩巡回）_有楽町・副都心線電機区,6,有楽町・副都心線,Ｂ線新木場～新木場基地（徒歩巡回）,60,鉄道本部電気部電機区,有楽町・副都心線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,有楽町・副都心線,NULL,NULL,NULL,10601,0,2023-04-01 00:00:00.000,1,NULL
10602,2,受送・配電線路設備（設備全般）_2か月検査_新木場車両基地（徒歩巡回）,NULL,2008/01/15,7581,2001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,NULL,NULL,0,NULL,受送・配電線路設備-設備全般_新木場車両基地（徒歩巡回）_有楽町・副都心線電機区,6,有楽町・副都心線,新木場車両基地（徒歩巡回）,60,鉄道本部電気部電機区,有楽町・副都心線電機区,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,受送・配電線路設備（設備全般）_2か月検査,1,PPA02,,受送・配電線路設備（設備全般）,有楽町・副都心線,NULL,NULL,NULL,10602,0,2023-04-01 00:00:00.000,1,NULL
