検査ID,状態,定期検査名称,検査補足名称,検査基準日,検査設備ID,定期検査ひな型ID,基準期間ID,表示用基準期間,許容期間,許容期間単位,臨時_基準期間ID,表示用基準期間臨時,許容期間臨時,許容期間単位臨時,実施主体,実施事業者1,実施事業者1名称,実施事業者2,実施事業者2名称,他区検査依頼,依頼先他区,依頼先他区所管区名称1,依頼先他区所管区名称2,他区検査依頼内容,申請順番,変更理由ID,基準期間_変更理由_ひな型,基準期間_変更理由,申請日時,補足,系統変更番号,計画策定に関する備考,承認に関する備考,作業時間帯,検査休止フラグ,検査休止期間_開始,検査休止期間_終了,検査廃止フラグ,検査廃止日,検査設備名,設置場所ID,場所名称,設置場所_計画表示用,所管区ID,所管区名称1,所管区名称2,設備カテゴリID,組織区分,レベル1,レベル2,レベル3,レベル4,レベル5,休止フラグ,休止期間_開始日,休止期間_終了日,廃止フラグ,廃止日,直営保守,定期検査ひな型名称,設備全般検査フラグ,作業コード名称,定期検査ひな型補足,検査名称,路線名称,変更理由,実施基準対象検査内容フラグ,長期使用フラグ,表示順,論理削除フラグ,更新日時,更新者ID,氏名
25076,2,信号設備_2か月_和光車両基地,NULL,2008/03/15,19155,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,信号設備_和光車両基地_有楽町・副都心線信通区,6,有楽町・副都心線,和光車両基地,68,鉄道本部電気部信通区,有楽町・副都心線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,有楽町・副都心線,NULL,NULL,NULL,25076,0,2023-04-01 00:00:00.000,1,NULL
25077,2,信号設備_2か月_和光市車両基地～小竹向原駅,NULL,2010/06/15,19156,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,NULL,NULL,1,2023/10/01,信号設備_和光市車両基地～小竹向原駅_有楽町・副都心線信通区,6,有楽町・副都心線,和光市車両基地～小竹向原駅,68,鉄道本部電気部信通区,有楽町・副都心線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,有楽町・副都心線,NULL,NULL,NULL,25077,0,2023-09-19 14:12:04.080,541,板垣　和之
25078,2,信号設備_2か月_小竹向原駅～江戸川橋,NULL,2010/05/15,19157,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,NULL,NULL,1,2023/10/01,信号設備_小竹向原駅～江戸川橋_有楽町・副都心線信通区,6,有楽町・副都心線,小竹向原駅～江戸川橋,68,鉄道本部電気部信通区,有楽町・副都心線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,有楽町・副都心線,NULL,NULL,NULL,25078,0,2023-09-19 14:12:19.633,541,板垣　和之
25079,2,信号設備_2か月_小竹向原駅～Ｆ池袋駅,NULL,2010/05/15,19158,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,NULL,NULL,1,2023/10/01,信号設備_小竹向原駅～Ｆ池袋駅_有楽町・副都心線信通区,6,有楽町・副都心線,小竹向原駅～Ｆ池袋駅,68,鉄道本部電気部信通区,有楽町・副都心線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,有楽町・副都心線,NULL,NULL,NULL,25079,0,2023-09-19 14:12:30.697,541,板垣　和之
25080,2,信号設備_2か月_江戸川橋駅～有楽町駅,NULL,2010/06/15,19159,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,NULL,NULL,1,2023/10/01,信号設備_江戸川橋駅～有楽町駅_有楽町・副都心線信通区,6,有楽町・副都心線,江戸川橋駅～有楽町駅,68,鉄道本部電気部信通区,有楽町・副都心線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,有楽町・副都心線,NULL,NULL,NULL,25080,0,2023-09-19 14:12:42.990,541,板垣　和之
25081,2,信号設備_2か月_有楽町駅～新木場車両基地,NULL,2010/05/15,19160,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,NULL,NULL,1,2023/10/01,信号設備_有楽町駅～新木場車両基地_有楽町・副都心線信通区,6,有楽町・副都心線,有楽町駅～新木場車両基地,68,鉄道本部電気部信通区,有楽町・副都心線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,有楽町・副都心線,NULL,NULL,NULL,25081,0,2023-09-19 14:12:54.733,541,板垣　和之
25082,2,信号設備_2か月_新木場車両基地,NULL,2009/07/15,19161,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,信号設備_新木場車両基地_有楽町・副都心線信通区,6,有楽町・副都心線,新木場車両基地,68,鉄道本部電気部信通区,有楽町・副都心線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,有楽町・副都心線,NULL,NULL,NULL,25082,0,2023-04-01 00:00:00.000,1,NULL
25083,2,信号設備_2か月_Ｆ池袋～渋谷駅,NULL,2010/06/15,19162,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,東急境界まで,NULL,3,0,NULL,NULL,1,2023/10/01,信号設備_Ｆ池袋～渋谷駅_有楽町・副都心線信通区,6,有楽町・副都心線,Ｆ池袋～渋谷駅,68,鉄道本部電気部信通区,有楽町・副都心線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,有楽町・副都心線,NULL,NULL,NULL,25083,0,2023-09-19 14:13:07.000,541,板垣　和之
25084,2,信号設備_2か月_研修センター,NULL,2016/03/17,19163,3001,5,2か月(±28日),28,1,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,信号設備_研修センター_有楽町・副都心線信通区,6,有楽町・副都心線,研修センター,68,鉄道本部電気部信通区,有楽町・副都心線信通区,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,信号設備_2か月,1,PTA02,,信号設備,有楽町・副都心線,NULL,NULL,NULL,25084,0,2023-04-01 00:00:00.000,1,NULL
25085,2,軌道装置-レール絶縁_1年_和光車両基地,NULL,2006/08/22,19164,3002,41,1年(±1月),1,2,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,東武境界（レール絶縁）W５１RT＝１０LT（メトロ保守）,NULL,1,0,NULL,NULL,0,NULL,軌道装置-レール絶縁_和光車両基地_有楽町・副都心線信通区,6,有楽町・副都心線,和光車両基地,68,鉄道本部電気部信通区,有楽町・副都心線信通区,266,05_信通【信号】,02_軌道装置,01_レール絶縁,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,軌道装置-レール絶縁_1年,0,PTB04,,軌道装置-レール絶縁,有楽町・副都心線,NULL,NULL,NULL,25085,0,2023-04-01 00:00:00.000,1,NULL
25086,2,軌道装置-レール絶縁_1年_和光市連動～成増,NULL,2007/08/18,19165,3002,41,1年(±1月),1,2,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,NULL,NULL,0,NULL,軌道装置-レール絶縁_和光市連動～成増_有楽町・副都心線信通区,6,有楽町・副都心線,和光市連動～成増,68,鉄道本部電気部信通区,有楽町・副都心線信通区,266,05_信通【信号】,02_軌道装置,01_レール絶縁,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,軌道装置-レール絶縁_1年,0,PTB04,,軌道装置-レール絶縁,有楽町・副都心線,NULL,NULL,NULL,25086,0,2023-04-01 00:00:00.000,1,NULL
25087,2,軌道装置-レール絶縁_1年_成増連動,NULL,2007/05/15,19166,3002,41,1年(±1月),1,2,NULL,NULL,NULL,NULL,1,1,東京メトロ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,NULL,NULL,0,NULL,軌道装置-レール絶縁_成増連動_有楽町・副都心線信通区,6,有楽町・副都心線,成増連動,68,鉄道本部電気部信通区,有楽町・副都心線信通区,266,05_信通【信号】,02_軌道装置,01_レール絶縁,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,軌道装置-レール絶縁_1年,0,PTB04,,軌道装置-レール絶縁,有楽町・副都心線,NULL,NULL,NULL,25087,0,2023-04-01 00:00:00.000,1,NULL
