総件数,ソート最優先キー,検査ID,定期検査名称,検査補足名称,検査基準日,検査設備ID,定期検査ひな型ID,臨時_基準期間ID,実施主体,実施事業者1,実施事業者2,他区検査依頼,依頼先他区,他区検査依頼内容,補足,系統変更番号,計画策定に関する備考,承認に関する備考,作業時間帯,休止フラグ,休止期間_開始,休止期間_終了,廃止フラグ,廃止日,表示順,論理削除フラグ,更新日時,更新者ID,予備1,予備2,予備3,予備4,予備5,予備6,予備7,予備8,予備9,予備10,実施主体名称,実施事業者1名称,実施事業者2名称,依頼先他区所管区名称1,依頼先他区所管区名称2,T_定期検査ひな型ID,T_定期検査ひな型名称,T_設備全般検査フラグ,T_検査名称,T_設備カテゴリID,T_基準期間ID,T_補足,SK_設備カテゴリID,SK_組織区分,SK_レベル1,SK_レベル2,SK_レベル3,SK_レベル4,SK_レベル5,SK_任意項目,B1_基準期間ID,B1_表示用基準期間,B1_基準期間,B1_基準期間単位,B1_許容期間,B1_許容期間単位,B1_アラート出力,B2_基準期間ID,B2_表示用基準期間,B2_基準期間,B2_基準期間単位,B2_許容期間,B2_許容期間単位,B2_アラート出力,KS_検査設備ID,KS_検査設備名,KS_検査設備名_検査表表示用,KS_設置場所ID,KS_設置場所_計画表示用,KS_設備カテゴリID,KS_設置年月日,KS_稼働年月日,KS_所管区ID,KS_実施基準対象設備フラグ,KS_廃止フラグ,KS_廃止日,KS_休止フラグ,KS_休止期間_開始日,KS_休止期間_終了日,KS_関連検査設備ID,KS_関連検査設備名称,KS_補足,KS_任意項目,KS_直営保守,SB_設置場所ID,SB_路線ID,SB_場所種別,SB_場所名称,SB_下位場所名称,SB_その他名称,SB_任意項目,KN_実施基準対象検査内容フラグ,J3_任意項目,K_変更理由,作業コード名称
1523,,20651,信号設備_2か月_鷺沼車両基地Ａブロック,NULL,2008/04/15,15338,3001,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,20651,0,2024-05-02 14:51:41.437,661,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,3001,信号設備_2か月,1,信号設備,265,5,,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15338,信号設備_鷺沼車両基地Ａブロック_半蔵門線信通区,信号設備_鷺沼車両基地Ａブロック_半蔵門線信通区,7,鷺沼車両基地Ａブロック,265,NULL,NULL,69,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,7,7,5,半蔵門線,NULL,NULL,NULL,NULL,NULL,NULL,PTA02
1523,,20652,信号設備_2か月_鷺沼車両基地Ｂブロック,NULL,2008/04/15,15339,3001,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,20652,0,2024-05-02 14:51:41.437,661,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,3001,信号設備_2か月,1,信号設備,265,5,,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15339,信号設備_鷺沼車両基地Ｂブロック_半蔵門線信通区,信号設備_鷺沼車両基地Ｂブロック_半蔵門線信通区,7,鷺沼車両基地Ｂブロック,265,NULL,NULL,69,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,7,7,5,半蔵門線,NULL,NULL,NULL,NULL,NULL,NULL,PTA02
1523,,38747,信号設備_2か月_渋谷～表参道ＡＢ線,NULL,2008/03/15,29784,3001,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,20653,0,2024-05-02 14:51:41.437,186,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,3001,信号設備_2か月,1,信号設備,265,5,,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29784,信号設備_渋谷～表参道ＡＢ線_半蔵門線信通区,信号設備_渋谷～表参道ＡＢ線_半蔵門線信通区,7,渋谷～表参道ＡＢ線,265,,,69,0,0,,0,,,NULL,NULL,,,0,7,7,5,半蔵門線,NULL,NULL,NULL,NULL,NULL,NULL,PTA02
1523,,20653,信号設備_2か月_渋谷（池尻方）～表参道ＡＢ線,NULL,2008/03/15,15340,3001,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,20654,0,2024-05-02 14:51:41.437,661,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,3001,信号設備_2か月,1,信号設備,265,5,,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15340,信号設備_渋谷（池尻方）～表参道ＡＢ線_半蔵門線信通区,信号設備_渋谷（池尻方）～表参道ＡＢ線_半蔵門線信通区,7,渋谷（池尻方）～表参道ＡＢ線,265,,,69,0,0,,0,,,NULL,NULL,,,0,7,7,5,半蔵門線,NULL,NULL,NULL,NULL,NULL,NULL,PTA02
1523,,20654,信号設備_2か月_表参道～青山一丁目ＡＢ線,NULL,2008/03/15,15341,3001,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,20655,0,2024-05-02 14:51:41.437,661,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,3001,信号設備_2か月,1,信号設備,265,5,,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15341,信号設備_表参道～青山一丁目ＡＢ線_半蔵門線信通区,信号設備_表参道～青山一丁目ＡＢ線_半蔵門線信通区,7,表参道～青山一丁目ＡＢ線,265,NULL,NULL,69,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,7,7,5,半蔵門線,NULL,NULL,NULL,NULL,NULL,NULL,PTA02
1523,,20655,信号設備_2か月_青山一丁目～永田町ＡＢ線,NULL,2008/03/15,15342,3001,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,20656,0,2024-05-02 14:51:41.437,661,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,3001,信号設備_2か月,1,信号設備,265,5,,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15342,信号設備_青山一丁目～永田町ＡＢ線_半蔵門線信通区,信号設備_青山一丁目～永田町ＡＢ線_半蔵門線信通区,7,青山一丁目～永田町ＡＢ線,265,NULL,NULL,69,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,7,7,5,半蔵門線,NULL,NULL,NULL,NULL,NULL,NULL,PTA02
1523,,20656,信号設備_2か月_永田町～半蔵門ＡＢ線,NULL,2008/03/15,15343,3001,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,20657,0,2024-05-02 14:51:41.437,661,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,3001,信号設備_2か月,1,信号設備,265,5,,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15343,信号設備_永田町～半蔵門ＡＢ線_半蔵門線信通区,信号設備_永田町～半蔵門ＡＢ線_半蔵門線信通区,7,永田町～半蔵門ＡＢ線,265,NULL,NULL,69,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,7,7,5,半蔵門線,NULL,NULL,NULL,NULL,NULL,NULL,PTA02
1523,,20657,信号設備_2か月_半蔵門～九段下ＡＢ線・半蔵門１１Ｔ区間,NULL,2008/03/15,15344,3001,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,20658,0,2024-05-02 14:51:41.437,661,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,3001,信号設備_2か月,1,信号設備,265,5,,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15344,信号設備_半蔵門～九段下ＡＢ線・半蔵門１１Ｔ区間_半蔵門線信通区,信号設備_半蔵門～九段下ＡＢ線・半蔵門１１Ｔ区間_半蔵門線信通区,7,半蔵門～九段下ＡＢ線・半蔵門１１Ｔ区間,265,NULL,NULL,69,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,7,7,5,半蔵門線,NULL,NULL,NULL,NULL,NULL,NULL,PTA02
1523,,20658,信号設備_2か月_神保町～大手町ＡＢ線,NULL,2008/03/15,15345,3001,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,20659,0,2024-05-02 14:51:41.437,661,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,3001,信号設備_2か月,1,信号設備,265,5,,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15345,信号設備_神保町～大手町ＡＢ線_半蔵門線信通区,信号設備_神保町～大手町ＡＢ線_半蔵門線信通区,7,神保町～大手町ＡＢ線,265,NULL,NULL,69,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,7,7,5,半蔵門線,NULL,NULL,NULL,NULL,NULL,NULL,PTA02
1523,,20659,信号設備_2か月_大手町～三越前ＡＢ線,NULL,2008/04/15,15346,3001,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,20660,0,2024-05-02 14:51:41.437,661,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,3001,信号設備_2か月,1,信号設備,265,5,,265,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15346,信号設備_大手町～三越前ＡＢ線_半蔵門線信通区,信号設備_大手町～三越前ＡＢ線_半蔵門線信通区,7,大手町～三越前ＡＢ線,265,NULL,NULL,69,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,7,7,5,半蔵門線,NULL,NULL,NULL,NULL,NULL,NULL,PTA02
