総件数,ソート最優先キー,検査ID,定期検査名称,検査補足名称,検査基準日,検査設備ID,定期検査ひな型ID,臨時_基準期間ID,実施主体,実施事業者1,実施事業者2,他区検査依頼,依頼先他区,他区検査依頼内容,補足,系統変更番号,計画策定に関する備考,承認に関する備考,作業時間帯,休止フラグ,休止期間_開始,休止期間_終了,廃止フラグ,廃止日,表示順,論理削除フラグ,更新日時,更新者ID,予備1,予備2,予備3,予備4,予備5,予備6,予備7,予備8,予備9,予備10,実施主体名称,実施事業者1名称,実施事業者2名称,依頼先他区所管区名称1,依頼先他区所管区名称2,T_定期検査ひな型ID,T_定期検査ひな型名称,T_設備全般検査フラグ,T_検査名称,T_設備カテゴリID,T_基準期間ID,T_補足,SK_設備カテゴリID,SK_組織区分,SK_レベル1,SK_レベル2,SK_レベル3,SK_レベル4,SK_レベル5,SK_任意項目,B1_基準期間ID,B1_表示用基準期間,B1_基準期間,B1_基準期間単位,B1_許容期間,B1_許容期間単位,B1_アラート出力,B2_基準期間ID,B2_表示用基準期間,B2_基準期間,B2_基準期間単位,B2_許容期間,B2_許容期間単位,B2_アラート出力,KS_検査設備ID,KS_検査設備名,KS_検査設備名_検査表表示用,KS_設置場所ID,KS_設置場所_計画表示用,KS_設備カテゴリID,KS_設置年月日,KS_稼働年月日,KS_所管区ID,KS_実施基準対象設備フラグ,KS_廃止フラグ,KS_廃止日,KS_休止フラグ,KS_休止期間_開始日,KS_休止期間_終了日,KS_関連検査設備ID,KS_関連検査設備名称,KS_補足,KS_任意項目,KS_直営保守,SB_設置場所ID,SB_路線ID,SB_場所種別,SB_場所名称,SB_下位場所名称,SB_その他名称,SB_任意項目,KN_実施基準対象検査内容フラグ,J3_任意項目,K_変更理由,作業コード名称
1727,,15051,電車線路設備-剛体電車線及び付属装置（トロリ線残存直径）_1年検査_本駒込駅～駒込（Ｂ線）,NULL,2023/06/15,10948,2042,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2,0,NULL,NULL,0,NULL,15051,0,2024-04-04 16:03:07.117,241,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2042,電車線路設備-剛体電車線及び付属装置（トロリ線残存直径）_1年検査,0,電車線路設備-剛体電車線及び付属装置（トロリ線残存直径）,139,9,,139,02_電力【電路】,02_電車線路設備,04_剛体電車線及び付属装置,05_トロリ線,NULL,NULL,NULL,9,1年(±5月),1,3,5,2,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10948,電車線路設備-剛体電車線及び付属装置-トロリ線_本駒込駅～駒込（Ｂ線）_南北線電機区,電車線路設備-剛体電車線及び付属装置-トロリ線_本駒込駅～駒込（Ｂ線）_南北線電機区,8,本駒込駅～駒込（Ｂ線）,139,NULL,NULL,62,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,8,5,南北線,NULL,NULL,NULL,NULL,NULL,NULL,PPC29
1727,,15052,受送・配電線路設備（設備全般）_2か月検査_目黒駅～白金台（Ａ線）,NULL,2008/04/15,10949,2001,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,15052,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2001,受送・配電線路設備（設備全般）_2か月検査,1,受送・配電線路設備（設備全般）,105,5,,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10949,受送・配電線路設備-設備全般_目黒駅～白金台（Ａ線）_南北線電機区,受送・配電線路設備-設備全般_目黒駅～白金台（Ａ線）_南北線電機区,8,目黒駅～白金台（Ａ線）,105,NULL,NULL,62,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,8,5,南北線,NULL,NULL,NULL,NULL,NULL,NULL,PPA02
1727,,15053,受送・配電線路設備（設備全般）_2か月検査_白金台駅～白金高輪（Ａ線）,NULL,2008/04/15,10950,2001,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,15053,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2001,受送・配電線路設備（設備全般）_2か月検査,1,受送・配電線路設備（設備全般）,105,5,,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10950,受送・配電線路設備-設備全般_白金台駅～白金高輪（Ａ線）_南北線電機区,受送・配電線路設備-設備全般_白金台駅～白金高輪（Ａ線）_南北線電機区,8,白金台駅～白金高輪（Ａ線）,105,NULL,NULL,62,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,8,5,南北線,NULL,NULL,NULL,NULL,NULL,NULL,PPA02
1727,,15054,受送・配電線路設備（設備全般）_2か月検査_白金高輪駅～麻布十番（Ａ線）,NULL,2008/04/15,10951,2001,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,15054,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2001,受送・配電線路設備（設備全般）_2か月検査,1,受送・配電線路設備（設備全般）,105,5,,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10951,受送・配電線路設備-設備全般_白金高輪駅～麻布十番（Ａ線）_南北線電機区,受送・配電線路設備-設備全般_白金高輪駅～麻布十番（Ａ線）_南北線電機区,8,白金高輪駅～麻布十番（Ａ線）,105,NULL,NULL,62,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,8,5,南北線,NULL,NULL,NULL,NULL,NULL,NULL,PPA02
1727,,15055,給排水機械設備-トンネル排水ポンプ-ポンプ_2年検査_赤羽トンネル排水ポンプ室,NULL,2006/08/15,10952,2161,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,検査基準日変更のため,2,0,NULL,NULL,0,NULL,15055,0,2024-03-21 17:51:15.587,215,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2161,給排水機械設備-トンネル排水ポンプ-ポンプ_2年検査,1,給排水機械設備-トンネル排水ポンプ-ポンプ,218,11,,218,04_設備【機械】,02_給排水機械設備,01_給排水機械設備,02_トンネル排水ポンプ,,,NULL,11,2年(±5月),2,3,5,2,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10952,給排水機械設備-トンネル排水ポンプ_赤羽トンネル排水ポンプ室_南北線電機区,給排水機械設備-トンネル排水ポンプ_赤羽トンネル排水ポンプ室_南北線電機区,8,赤羽トンネル排水ポンプ室,218,NULL,NULL,62,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,8,5,南北線,NULL,NULL,NULL,NULL,NULL,NULL,PKB05
1727,,15056,給排水機械設備-トンネル排水ポンプ-付属装置_2年検査_赤羽トンネル排水ポンプ室,NULL,2006/08/15,10952,2162,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,検査基準日変更のため,2,0,NULL,NULL,0,NULL,15056,0,2024-03-21 17:51:52.183,215,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2162,給排水機械設備-トンネル排水ポンプ-付属装置_2年検査,1,給排水機械設備-トンネル排水ポンプ-付属装置,218,11,,218,04_設備【機械】,02_給排水機械設備,01_給排水機械設備,02_トンネル排水ポンプ,,,NULL,11,2年(±5月),2,3,5,2,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10952,給排水機械設備-トンネル排水ポンプ_赤羽トンネル排水ポンプ室_南北線電機区,給排水機械設備-トンネル排水ポンプ_赤羽トンネル排水ポンプ室_南北線電機区,8,赤羽トンネル排水ポンプ室,218,NULL,NULL,62,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,8,5,南北線,NULL,NULL,NULL,NULL,NULL,NULL,PKB06
1727,,15057,給排水機械設備-トンネル排水ポンプ-付属装置_2年検査_神谷トンネル排水ポンプ室,NULL,2006/10/15,10953,2162,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,検査基準日変更のため,2,0,NULL,NULL,0,NULL,15057,0,2024-03-21 17:59:32.337,215,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2162,給排水機械設備-トンネル排水ポンプ-付属装置_2年検査,1,給排水機械設備-トンネル排水ポンプ-付属装置,218,11,,218,04_設備【機械】,02_給排水機械設備,01_給排水機械設備,02_トンネル排水ポンプ,,,NULL,11,2年(±5月),2,3,5,2,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10953,給排水機械設備-トンネル排水ポンプ_神谷トンネル排水ポンプ室_南北線電機区,給排水機械設備-トンネル排水ポンプ_神谷トンネル排水ポンプ室_南北線電機区,8,神谷トンネル排水ポンプ室,218,NULL,NULL,62,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,8,5,南北線,NULL,NULL,NULL,NULL,NULL,NULL,PKB06
1727,,15058,給排水機械設備-トンネル排水ポンプ-その他（湧水量）_2年検査_神谷トンネル排水ポンプ室,NULL,2006/10/15,10953,2163,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,検査基準日変更のため,2,0,NULL,NULL,0,NULL,15058,0,2024-03-21 17:59:18.003,215,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2163,給排水機械設備-トンネル排水ポンプ-その他（湧水量）_2年検査,1,給排水機械設備-トンネル排水ポンプ-その他（湧水量）,218,11,,218,04_設備【機械】,02_給排水機械設備,01_給排水機械設備,02_トンネル排水ポンプ,,,NULL,11,2年(±5月),2,3,5,2,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10953,給排水機械設備-トンネル排水ポンプ_神谷トンネル排水ポンプ室_南北線電機区,給排水機械設備-トンネル排水ポンプ_神谷トンネル排水ポンプ室_南北線電機区,8,神谷トンネル排水ポンプ室,218,NULL,NULL,62,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,8,5,南北線,NULL,NULL,NULL,NULL,NULL,NULL,PKB07
1727,,15059,給排水機械設備-トンネル排水ポンプ-その他（湧水量）_2年検査_赤羽トンネル排水ポンプ室,NULL,2006/08/15,10952,2163,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,検査基準日変更のため,2,0,NULL,NULL,0,NULL,15059,0,2024-03-21 17:52:35.250,215,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2163,給排水機械設備-トンネル排水ポンプ-その他（湧水量）_2年検査,1,給排水機械設備-トンネル排水ポンプ-その他（湧水量）,218,11,,218,04_設備【機械】,02_給排水機械設備,01_給排水機械設備,02_トンネル排水ポンプ,,,NULL,11,2年(±5月),2,3,5,2,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10952,給排水機械設備-トンネル排水ポンプ_赤羽トンネル排水ポンプ室_南北線電機区,給排水機械設備-トンネル排水ポンプ_赤羽トンネル排水ポンプ室_南北線電機区,8,赤羽トンネル排水ポンプ室,218,NULL,NULL,62,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,8,5,南北線,NULL,NULL,NULL,NULL,NULL,NULL,PKB07
1727,,15060,給排水機械設備-トンネル排水ポンプ-ポンプ_2年検査_王子車両基地トンネル排水ポンプ室,NULL,2018/07/15,10954,2161,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,検査基準日変更のため,2,0,NULL,NULL,0,NULL,15060,0,2024-03-21 17:57:52.333,215,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2161,給排水機械設備-トンネル排水ポンプ-ポンプ_2年検査,1,給排水機械設備-トンネル排水ポンプ-ポンプ,218,11,,218,04_設備【機械】,02_給排水機械設備,01_給排水機械設備,02_トンネル排水ポンプ,,,NULL,11,2年(±5月),2,3,5,2,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10954,給排水機械設備-トンネル排水ポンプ_王子車両基地トンネル排水ポンプ室_南北線電機区,給排水機械設備-トンネル排水ポンプ_王子車両基地トンネル排水ポンプ室_南北線電機区,8,王子車両基地トンネル排水ポンプ室,218,NULL,NULL,62,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,8,5,南北線,NULL,NULL,NULL,NULL,NULL,NULL,PKB05
