総件数,ソート最優先キー,検査ID,定期検査名称,検査補足名称,検査基準日,検査設備ID,定期検査ひな型ID,臨時_基準期間ID,実施主体,実施事業者1,実施事業者2,他区検査依頼,依頼先他区,他区検査依頼内容,補足,系統変更番号,計画策定に関する備考,承認に関する備考,作業時間帯,休止フラグ,休止期間_開始,休止期間_終了,廃止フラグ,廃止日,表示順,論理削除フラグ,更新日時,更新者ID,予備1,予備2,予備3,予備4,予備5,予備6,予備7,予備8,予備9,予備10,実施主体名称,実施事業者1名称,実施事業者2名称,依頼先他区所管区名称1,依頼先他区所管区名称2,T_定期検査ひな型ID,T_定期検査ひな型名称,T_設備全般検査フラグ,T_検査名称,T_設備カテゴリID,T_基準期間ID,T_補足,SK_設備カテゴリID,SK_組織区分,SK_レベル1,SK_レベル2,SK_レベル3,SK_レベル4,SK_レベル5,SK_任意項目,B1_基準期間ID,B1_表示用基準期間,B1_基準期間,B1_基準期間単位,B1_許容期間,B1_許容期間単位,B1_アラート出力,B2_基準期間ID,B2_表示用基準期間,B2_基準期間,B2_基準期間単位,B2_許容期間,B2_許容期間単位,B2_アラート出力,KS_検査設備ID,KS_検査設備名,KS_検査設備名_検査表表示用,KS_設置場所ID,KS_設置場所_計画表示用,KS_設備カテゴリID,KS_設置年月日,KS_稼働年月日,KS_所管区ID,KS_実施基準対象設備フラグ,KS_廃止フラグ,KS_廃止日,KS_休止フラグ,KS_休止期間_開始日,KS_休止期間_終了日,KS_関連検査設備ID,KS_関連検査設備名称,KS_補足,KS_任意項目,KS_直営保守,SB_設置場所ID,SB_路線ID,SB_場所種別,SB_場所名称,SB_下位場所名称,SB_その他名称,SB_任意項目,KN_実施基準対象検査内容フラグ,J3_任意項目,K_変更理由,作業コード名称
2708,,6326,受送・配電線路設備（設備全般）_2か月検査_中野～落合駅Ａ線,NULL,2018/11/15,4260,2001,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,PQC51,NULL,1,0,NULL,NULL,0,NULL,6326,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2001,受送・配電線路設備（設備全般）_2か月検査,1,受送・配電線路設備（設備全般）,105,5,,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4260,受送・配電線路設備-設備全般_中野坑口～落合駅Ａ線_東西線電機区,受送・配電線路設備-設備全般_中野坑口～落合駅Ａ線_東西線電機区,4,中野坑口～落合駅Ａ線,105,,,58,0,0,,0,,,NULL,NULL,,,0,4,4,5,東西線,NULL,NULL,NULL,NULL,NULL,NULL,PPA02
2708,,6327,受送・配電線路設備（設備全般）_2か月検査_落合～高田馬場駅Ａ線,NULL,2018/11/15,4261,2001,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,PQC51,NULL,1,0,NULL,NULL,0,NULL,6327,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2001,受送・配電線路設備（設備全般）_2か月検査,1,受送・配電線路設備（設備全般）,105,5,,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4261,受送・配電線路設備-設備全般_落合～高田馬場駅Ａ線_東西線電機区,受送・配電線路設備-設備全般_落合～高田馬場駅Ａ線_東西線電機区,4,落合～高田馬場駅Ａ線,105,NULL,NULL,58,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,4,4,5,東西線,NULL,NULL,NULL,NULL,NULL,NULL,PPA02
2708,,6328,受送・配電線路設備（設備全般）_2か月検査_高田馬場～早稲田駅Ａ線,NULL,2018/11/15,4262,2001,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,PQC51,NULL,1,0,NULL,NULL,0,NULL,6328,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2001,受送・配電線路設備（設備全般）_2か月検査,1,受送・配電線路設備（設備全般）,105,5,,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4262,受送・配電線路設備-設備全般_高田馬場～早稲田駅Ａ線_東西線電機区,受送・配電線路設備-設備全般_高田馬場～早稲田駅Ａ線_東西線電機区,4,高田馬場～早稲田駅Ａ線,105,NULL,NULL,58,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,4,4,5,東西線,NULL,NULL,NULL,NULL,NULL,NULL,PPA02
2708,,6329,受送・配電線路設備（設備全般）_2か月検査_早稲田～神楽坂駅Ａ線,NULL,2018/11/15,4263,2001,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,PQC51,NULL,1,0,NULL,NULL,0,NULL,6329,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2001,受送・配電線路設備（設備全般）_2か月検査,1,受送・配電線路設備（設備全般）,105,5,,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4263,受送・配電線路設備-設備全般_早稲田～神楽坂駅Ａ線_東西線電機区,受送・配電線路設備-設備全般_早稲田～神楽坂駅Ａ線_東西線電機区,4,早稲田～神楽坂駅Ａ線,105,NULL,NULL,58,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,4,4,5,東西線,NULL,NULL,NULL,NULL,NULL,NULL,PPA02
2708,,6330,受送・配電線路設備（設備全般）_2か月検査_神楽坂～飯田橋駅Ａ線,NULL,2018/11/15,4264,2001,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,PQC51,NULL,1,0,NULL,NULL,0,NULL,6330,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2001,受送・配電線路設備（設備全般）_2か月検査,1,受送・配電線路設備（設備全般）,105,5,,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4264,受送・配電線路設備-設備全般_神楽坂～飯田橋駅Ａ線_東西線電機区,受送・配電線路設備-設備全般_神楽坂～飯田橋駅Ａ線_東西線電機区,4,神楽坂～飯田橋駅Ａ線,105,NULL,NULL,58,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,4,4,5,東西線,NULL,NULL,NULL,NULL,NULL,NULL,PPA02
2708,,6331,受送・配電線路設備（設備全般）_2か月検査_飯田橋～九段下駅Ａ線,NULL,2018/11/15,4265,2001,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,PQC51,NULL,1,0,NULL,NULL,0,NULL,6331,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2001,受送・配電線路設備（設備全般）_2か月検査,1,受送・配電線路設備（設備全般）,105,5,,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4265,受送・配電線路設備-設備全般_飯田橋～九段下駅Ａ線_東西線電機区,受送・配電線路設備-設備全般_飯田橋～九段下駅Ａ線_東西線電機区,4,飯田橋～九段下駅Ａ線,105,NULL,NULL,58,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,4,4,5,東西線,NULL,NULL,NULL,NULL,NULL,NULL,PPA02
2708,,6332,受送・配電線路設備（設備全般）_2か月検査_九段下～竹橋駅Ａ線,NULL,2018/11/15,4266,2001,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,PQC51,NULL,1,0,NULL,NULL,0,NULL,6332,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2001,受送・配電線路設備（設備全般）_2か月検査,1,受送・配電線路設備（設備全般）,105,5,,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4266,受送・配電線路設備-設備全般_九段下～竹橋駅Ａ線_東西線電機区,受送・配電線路設備-設備全般_九段下～竹橋駅Ａ線_東西線電機区,4,九段下～竹橋駅Ａ線,105,NULL,NULL,58,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,4,4,5,東西線,NULL,NULL,NULL,NULL,NULL,NULL,PPA02
2708,,6333,受送・配電線路設備（設備全般）_2か月検査_竹橋～大手町駅Ａ線,NULL,2018/11/15,4267,2001,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,PQC51,NULL,1,0,NULL,NULL,0,NULL,6333,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2001,受送・配電線路設備（設備全般）_2か月検査,1,受送・配電線路設備（設備全般）,105,5,,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4267,受送・配電線路設備-設備全般_竹橋～大手町駅Ａ線_東西線電機区,受送・配電線路設備-設備全般_竹橋～大手町駅Ａ線_東西線電機区,4,竹橋～大手町駅Ａ線,105,NULL,NULL,58,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,4,4,5,東西線,NULL,NULL,NULL,NULL,NULL,NULL,PPA02
2708,,6334,受送・配電線路設備（設備全般）_2か月検査_大手町～日本橋駅Ａ線,NULL,2018/12/15,4268,2001,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,PQC51,NULL,1,0,NULL,NULL,0,NULL,6334,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2001,受送・配電線路設備（設備全般）_2か月検査,1,受送・配電線路設備（設備全般）,105,5,,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4268,受送・配電線路設備-設備全般_大手町～日本橋駅Ａ線_東西線電機区,受送・配電線路設備-設備全般_大手町～日本橋駅Ａ線_東西線電機区,4,大手町～日本橋駅Ａ線,105,NULL,NULL,58,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,4,4,5,東西線,NULL,NULL,NULL,NULL,NULL,NULL,PPA02
2708,,6335,受送・配電線路設備（設備全般）_2か月検査_日本橋～茅場町駅Ａ線,NULL,2018/12/15,4269,2001,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,PQC51,NULL,1,0,NULL,NULL,0,NULL,6335,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,自社,東京メトロ,NULL,NULL,NULL,2001,受送・配電線路設備（設備全般）_2か月検査,1,受送・配電線路設備（設備全般）,105,5,,105,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,NULL,5,2か月(±28日),2,2,28,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4269,受送・配電線路設備-設備全般_日本橋～茅場町駅Ａ線_東西線電機区,受送・配電線路設備-設備全般_日本橋～茅場町駅Ａ線_東西線電機区,4,日本橋～茅場町駅Ａ線,105,NULL,NULL,58,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,4,4,5,東西線,NULL,NULL,NULL,NULL,NULL,NULL,PPA02
