検査設備ID,検査設備名,検査設備名_検査表表示用,設置場所ID,設置場所_計画表示用,設備カテゴリID,設置年月日,稼働年月日,所管区ID,実施基準対象設備フラグ,廃止フラグ,廃止日,休止フラグ,休止期間_開始日,休止期間_終了日,関連検査設備ID,補足,任意項目,直営保守,表示順,論理削除フラグ,更新日時,更新者ID,予備1,予備2,予備3,予備4,予備5,予備6,予備7,予備8,予備9,予備10,状態,ワークフローパターン,場所名称,路線名称,組織区分,レベル1,レベル2,レベル3,レベル4,レベル5,所管区コード1,所管区名称1,所管区コード2,所管区名称2,関連検査設備名称,氏名,変更理由
1,受送・配電線路設備-設備全般_渋谷車両基地_銀座線電機区,受送・配電線路設備-設備全般_渋谷車両基地_銀座線電機区,1,渋谷車両基地,105,NULL,NULL,55,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,1,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,銀座線,銀座線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366000,銀座線電機区,NULL,NULL,NULL
2,受送・配電線路設備-設備全般_渋谷駅～表参道Ａ線_銀座線電機区,受送・配電線路設備-設備全般_渋谷駅～表参道Ａ線_銀座線電機区,1,渋谷駅～表参道Ａ線,105,NULL,NULL,55,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,2,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,銀座線,銀座線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366000,銀座線電機区,NULL,NULL,NULL
3,受送・配電線路設備-設備全般_表参道駅～外苑前Ａ線_銀座線電機区,受送・配電線路設備-設備全般_表参道駅～外苑前Ａ線_銀座線電機区,1,表参道駅～外苑前Ａ線,105,NULL,NULL,55,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,3,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,銀座線,銀座線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366000,銀座線電機区,NULL,NULL,NULL
4,受送・配電線路設備-設備全般_外苑前駅～青山一丁目Ａ線_銀座線電機区,受送・配電線路設備-設備全般_外苑前駅～青山一丁目Ａ線_銀座線電機区,1,外苑前駅～青山一丁目Ａ線,105,NULL,NULL,55,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,4,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,銀座線,銀座線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366000,銀座線電機区,NULL,NULL,NULL
5,受送・配電線路設備-設備全般_青山一丁目駅～赤坂見附Ａ線_銀座線電機区,受送・配電線路設備-設備全般_青山一丁目駅～赤坂見附Ａ線_銀座線電機区,1,青山一丁目駅～赤坂見附Ａ線,105,NULL,NULL,55,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,5,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,銀座線,銀座線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366000,銀座線電機区,NULL,NULL,NULL
6,受送・配電線路設備-設備全般_赤坂見附駅～溜池山王Ａ線_銀座線電機区,受送・配電線路設備-設備全般_赤坂見附駅～溜池山王Ａ線_銀座線電機区,1,赤坂見附駅～溜池山王Ａ線,105,NULL,NULL,55,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,6,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,銀座線,銀座線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366000,銀座線電機区,NULL,NULL,NULL
7,受送・配電線路設備-設備全般_溜池山王駅～虎ノ門Ａ線_銀座線電機区,受送・配電線路設備-設備全般_溜池山王駅～虎ノ門Ａ線_銀座線電機区,1,溜池山王駅～虎ノ門Ａ線,105,NULL,NULL,55,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,7,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,銀座線,銀座線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366000,銀座線電機区,NULL,NULL,NULL
8,受送・配電線路設備-設備全般_虎ノ門駅～新橋Ａ線_銀座線電機区,受送・配電線路設備-設備全般_虎ノ門駅～新橋Ａ線_銀座線電機区,1,虎ノ門駅～新橋Ａ線,105,NULL,NULL,55,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,8,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,銀座線,銀座線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366000,銀座線電機区,NULL,NULL,NULL
9,受送・配電線路設備-設備全般_新橋駅～銀座Ａ線_銀座線電機区,受送・配電線路設備-設備全般_新橋駅～銀座Ａ線_銀座線電機区,1,新橋駅～銀座Ａ線,105,NULL,NULL,55,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,9,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,銀座線,銀座線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366000,銀座線電機区,NULL,NULL,NULL
10,受送・配電線路設備-設備全般_銀座駅～京橋Ａ線_銀座線電機区,受送・配電線路設備-設備全般_銀座駅～京橋Ａ線_銀座線電機区,1,銀座駅～京橋Ａ線,105,NULL,NULL,55,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,10,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,銀座線,銀座線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366000,銀座線電機区,NULL,NULL,NULL
