検査設備ID,検査設備名,検査設備名_検査表表示用,設置場所ID,設置場所_計画表示用,設備カテゴリID,設置年月日,稼働年月日,所管区ID,実施基準対象設備フラグ,廃止フラグ,廃止日,休止フラグ,休止期間_開始日,休止期間_終了日,関連検査設備ID,補足,任意項目,直営保守,表示順,論理削除フラグ,更新日時,更新者ID,予備1,予備2,予備3,予備4,予備5,予備6,予備7,予備8,予備9,予備10,状態,ワークフローパターン,場所名称,路線名称,組織区分,レベル1,レベル2,レベル3,レベル4,レベル5,所管区コード1,所管区名称1,所管区コード2,所管区名称2,関連検査設備名称,氏名,変更理由
2617,受送・配電線路設備-設備全般_千住車両基地_日比谷線電機区,受送・配電線路設備-設備全般_千住車両基地_日比谷線電機区,3,千住車両基地,105,NULL,NULL,57,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,2617,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,日比谷線,日比谷線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366200,日比谷線電機区,NULL,NULL,NULL
2618,受送・配電線路設備-設備全般_竹ノ塚車両基地_日比谷線電機区,受送・配電線路設備-設備全般_竹ノ塚車両基地_日比谷線電機区,3,竹ノ塚車両基地,105,NULL,NULL,57,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,2618,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,日比谷線,日比谷線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366200,日比谷線電機区,NULL,NULL,NULL
2619,受送・配電線路設備-設備全般_北千住東武境界～北千住Ａ・Ｂ・Ｃ・Ｄ線_日比谷線電機区,受送・配電線路設備-設備全般_北千住東武境界～北千住Ａ・Ｂ・Ｃ・Ｄ線_日比谷線電機区,3,北千住東武境界～北千住Ａ・Ｂ・Ｃ・Ｄ線,105,,,57,0,0,,0,,,NULL,,,0,2619,0,2024-03-21 15:21:04.500,420,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,122,日比谷線,日比谷線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366200,日比谷線電機区,NULL,田中　雄太,名称変更
2620,受送・配電線路設備-設備全般_北千住駅～南千住Ａ線（通路線含む）_日比谷線電機区,受送・配電線路設備-設備全般_北千住駅～南千住Ａ線（通路線含む）_日比谷線電機区,3,北千住駅～南千住Ａ線（通路線含む）,105,,,57,0,0,,0,,,NULL,,,0,2620,0,2024-01-24 13:19:22.720,420,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,122,日比谷線,日比谷線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366200,日比谷線電機区,NULL,田中　雄太,設備細分化のため
2621,受送・配電線路設備-設備全般_南千住駅～三ノ輪坑口Ａ線_日比谷線電機区,受送・配電線路設備-設備全般_南千住駅～三ノ輪坑口Ａ線_日比谷線電機区,3,南千住駅～三ノ輪坑口Ａ線,105,,,57,0,0,,0,,,NULL,,,0,2621,0,2024-01-10 14:02:43.410,420,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,122,日比谷線,日比谷線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366200,日比谷線電機区,NULL,田中　雄太,設備細分化のため
2622,受送・配電線路設備-設備全般_三ノ輪坑口～三ノ輪Ａ線_日比谷線電機区,受送・配電線路設備-設備全般_三ノ輪坑口～三ノ輪Ａ線_日比谷線電機区,3,三ノ輪坑口～三ノ輪Ａ線,105,,,57,0,0,,0,,,NULL,,,0,2622,0,2024-01-10 14:03:37.250,420,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,122,日比谷線,日比谷線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366200,日比谷線電機区,NULL,田中　雄太,設備細分化のため
2623,受送・配電線路設備-設備全般_三ノ輪駅～入谷Ａ線_日比谷線電機区,受送・配電線路設備-設備全般_三ノ輪駅～入谷Ａ線_日比谷線電機区,3,三ノ輪駅～入谷Ａ線,105,,,57,0,0,,0,,,NULL,,,0,2623,0,2024-01-10 14:04:24.280,420,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,122,日比谷線,日比谷線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366200,日比谷線電機区,NULL,田中　雄太,設備細分化のため
2624,受送・配電線路設備-設備全般_入谷駅～上野Ａ線_日比谷線電機区,受送・配電線路設備-設備全般_入谷駅～上野Ａ線_日比谷線電機区,3,入谷駅～上野Ａ線,105,,,57,0,0,,0,,,NULL,,,0,2624,0,2024-01-10 14:05:07.257,420,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,122,日比谷線,日比谷線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366200,日比谷線電機区,NULL,田中　雄太,設備細分化のため
2625,受送・配電線路設備-設備全般_上野駅～仲御徒町Ａ線_日比谷線電機区,受送・配電線路設備-設備全般_上野駅～仲御徒町Ａ線_日比谷線電機区,3,上野駅～仲御徒町Ａ線,105,,,57,0,0,,0,,,NULL,,,0,2625,0,2024-01-10 14:05:58.717,420,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,122,日比谷線,日比谷線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366200,日比谷線電機区,NULL,田中　雄太,設備細分化のため
2626,受送・配電線路設備-設備全般_仲御徒町駅～秋葉原Ａ線_日比谷線電機区,受送・配電線路設備-設備全般_仲御徒町駅～秋葉原Ａ線_日比谷線電機区,3,仲御徒町駅～秋葉原Ａ線,105,,,57,0,0,,0,,,NULL,,,0,2626,0,2024-01-10 14:06:53.370,420,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,122,日比谷線,日比谷線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366200,日比谷線電機区,NULL,田中　雄太,設備細分化のため
