検査設備ID,検査設備名,検査設備名_検査表表示用,設置場所ID,設置場所_計画表示用,設備カテゴリID,設置年月日,稼働年月日,所管区ID,実施基準対象設備フラグ,廃止フラグ,廃止日,休止フラグ,休止期間_開始日,休止期間_終了日,関連検査設備ID,補足,任意項目,直営保守,表示順,論理削除フラグ,更新日時,更新者ID,予備1,予備2,予備3,予備4,予備5,予備6,予備7,予備8,予備9,予備10,状態,ワークフローパターン,場所名称,路線名称,組織区分,レベル1,レベル2,レベル3,レベル4,レベル5,所管区コード1,所管区名称1,所管区コード2,所管区名称2,関連検査設備名称,氏名,変更理由
16571,信号設備_目黒～白金台_南北線信通区,信号設備_目黒～白金台_南北線信通区,8,目黒～白金台,265,NULL,NULL,70,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,16571,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,南北線,南北線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367700,南北線信通区,NULL,NULL,NULL
16572,信号設備_白金台～白金高輪_南北線信通区,信号設備_白金台～白金高輪_南北線信通区,8,白金台～白金高輪,265,NULL,NULL,70,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,16572,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,南北線,南北線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367700,南北線信通区,NULL,NULL,NULL
16573,信号設備_白金高輪～麻布十番_南北線信通区,信号設備_白金高輪～麻布十番_南北線信通区,8,白金高輪～麻布十番,265,NULL,NULL,70,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,16573,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,南北線,南北線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367700,南北線信通区,NULL,NULL,NULL
16574,信号設備_麻布十番～六本木一丁目_南北線信通区,信号設備_麻布十番～六本木一丁目_南北線信通区,8,麻布十番～六本木一丁目,265,NULL,NULL,70,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,16574,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,南北線,南北線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367700,南北線信通区,NULL,NULL,NULL
16575,信号設備_六本木一丁目～溜池山王_南北線信通区,信号設備_六本木一丁目～溜池山王_南北線信通区,8,六本木一丁目～溜池山王,265,NULL,NULL,70,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,16575,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,南北線,南北線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367700,南北線信通区,NULL,NULL,NULL
16576,信号設備_溜池山王～永田町_南北線信通区,信号設備_溜池山王～永田町_南北線信通区,8,溜池山王～永田町,265,NULL,NULL,70,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,16576,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,南北線,南北線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367700,南北線信通区,NULL,NULL,NULL
16577,信号設備_永田町～四ツ谷_南北線信通区,信号設備_永田町～四ツ谷_南北線信通区,8,永田町～四ツ谷,265,NULL,NULL,70,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,16577,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,南北線,南北線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367700,南北線信通区,NULL,NULL,NULL
16578,信号設備_四ツ谷～市ケ谷_南北線信通区,信号設備_四ツ谷～市ケ谷_南北線信通区,8,四ツ谷～市ケ谷,265,NULL,NULL,70,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,16578,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,南北線,南北線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367700,南北線信通区,NULL,NULL,NULL
16579,信号設備_市ケ谷留置線_南北線信通区,信号設備_市ケ谷留置線_南北線信通区,8,市ケ谷留置線,265,NULL,NULL,70,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,16579,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,南北線,南北線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367700,南北線信通区,NULL,NULL,NULL
16580,信号設備_市ケ谷～飯田橋_南北線信通区,信号設備_市ケ谷～飯田橋_南北線信通区,8,市ケ谷～飯田橋,265,NULL,NULL,70,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,16580,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,南北線,南北線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367700,南北線信通区,NULL,NULL,NULL
16581,信号設備_飯田橋～後楽園_南北線信通区,信号設備_飯田橋～後楽園_南北線信通区,8,飯田橋～後楽園,265,NULL,NULL,70,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,16581,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,南北線,南北線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367700,南北線信通区,NULL,NULL,NULL
16582,信号設備_後楽園～東大前_南北線信通区,信号設備_後楽園～東大前_南北線信通区,8,後楽園～東大前,265,NULL,NULL,70,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,16582,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,南北線,南北線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367700,南北線信通区,NULL,NULL,NULL
16583,信号設備_東大前～本駒込_南北線信通区,信号設備_東大前～本駒込_南北線信通区,8,東大前～本駒込,265,NULL,NULL,70,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,16583,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,南北線,南北線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367700,南北線信通区,NULL,NULL,NULL
16584,信号設備_本駒込～駒込_南北線信通区,信号設備_本駒込～駒込_南北線信通区,8,本駒込～駒込,265,NULL,NULL,70,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,16584,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,南北線,南北線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367700,南北線信通区,NULL,NULL,NULL
16585,信号設備_駒込～西ケ原_南北線信通区,信号設備_駒込～西ケ原_南北線信通区,8,駒込～西ケ原,265,NULL,NULL,70,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,16585,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,南北線,南北線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367700,南北線信通区,NULL,NULL,NULL
16586,信号設備_西ケ原～王子_南北線信通区,信号設備_西ケ原～王子_南北線信通区,8,西ケ原～王子,265,NULL,NULL,70,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,16586,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,南北線,南北線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367700,南北線信通区,NULL,NULL,NULL
16587,信号設備_王子～王子神谷_南北線信通区,信号設備_王子～王子神谷_南北線信通区,8,王子～王子神谷,265,NULL,NULL,70,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,16587,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,南北線,南北線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367700,南北線信通区,NULL,NULL,NULL
