検査設備ID,検査設備名,検査設備名_検査表表示用,設置場所ID,設置場所_計画表示用,設備カテゴリID,設置年月日,稼働年月日,所管区ID,実施基準対象設備フラグ,廃止フラグ,廃止日,休止フラグ,休止期間_開始日,休止期間_終了日,関連検査設備ID,補足,任意項目,直営保守,表示順,論理削除フラグ,更新日時,更新者ID,予備1,予備2,予備3,予備4,予備5,予備6,予備7,予備8,予備9,予備10,状態,ワークフローパターン,場所名称,路線名称,組織区分,レベル1,レベル2,レベル3,レベル4,レベル5,所管区コード1,所管区名称1,所管区コード2,所管区名称2,関連検査設備名称,氏名,変更理由
19155,信号設備_和光車両基地_有楽町・副都心線信通区,信号設備_和光車両基地_有楽町・副都心線信通区,6,和光車両基地,265,NULL,NULL,68,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,19155,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,有楽町・副都心線,有楽町・副都心線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367500,有楽町・副都心線信通区,NULL,NULL,NULL
19156,信号設備_和光市車両基地～小竹向原駅_有楽町・副都心線信通区,信号設備_和光市車両基地～小竹向原駅_有楽町・副都心線信通区,6,和光市車両基地～小竹向原駅,265,,,68,0,1,2023/06/29,0,,,NULL,,,0,19156,0,2023-06-29 15:31:06.337,541,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,54,有楽町・副都心線,有楽町・副都心線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367500,有楽町・副都心線信通区,NULL,板垣　和之,台帳変更のため
19157,信号設備_小竹向原駅～江戸川橋、小竹向原駅～Ｆ池袋駅_有楽町・副都心線信通区,信号設備_小竹向原駅～江戸川橋、小竹向原駅～Ｆ池袋駅_有楽町・副都心線信通区,6,小竹向原駅～江戸川橋、小竹向原駅～Ｆ池袋駅,265,,,68,0,0,,0,,,NULL,,,0,19157,0,2023-07-14 11:30:57.643,870,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,54,有楽町・副都心線,有楽町・副都心線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367500,有楽町・副都心線信通区,NULL,村野　達浩,当区に合わせた物に変更する為
19158,信号設備_小竹向原駅～Ｆ池袋駅_有楽町・副都心線信通区,信号設備_小竹向原駅～Ｆ池袋駅_有楽町・副都心線信通区,6,小竹向原駅～Ｆ池袋駅,265,NULL,NULL,68,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,19158,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,有楽町・副都心線,有楽町・副都心線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367500,有楽町・副都心線信通区,NULL,NULL,NULL
19159,信号設備_江戸川橋駅～有楽町駅_有楽町・副都心線信通区,信号設備_江戸川橋駅～有楽町駅_有楽町・副都心線信通区,6,江戸川橋駅～有楽町駅,265,NULL,NULL,68,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,19159,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,有楽町・副都心線,有楽町・副都心線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367500,有楽町・副都心線信通区,NULL,NULL,NULL
19160,信号設備_有楽町駅～新木場車両基地_有楽町・副都心線信通区,信号設備_有楽町駅～新木場車両基地_有楽町・副都心線信通区,6,有楽町駅～新木場車両基地,265,NULL,NULL,68,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,19160,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,有楽町・副都心線,有楽町・副都心線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367500,有楽町・副都心線信通区,NULL,NULL,NULL
19161,信号設備_新木場車両基地_有楽町・副都心線信通区,信号設備_新木場車両基地_有楽町・副都心線信通区,6,新木場車両基地,265,NULL,NULL,68,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,19161,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,有楽町・副都心線,有楽町・副都心線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367500,有楽町・副都心線信通区,NULL,NULL,NULL
19162,信号設備_Ｆ池袋～渋谷駅_有楽町・副都心線信通区,信号設備_Ｆ池袋～渋谷駅_有楽町・副都心線信通区,6,Ｆ池袋～渋谷駅,265,NULL,NULL,68,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,19162,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,有楽町・副都心線,有楽町・副都心線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367500,有楽町・副都心線信通区,NULL,NULL,NULL
19163,信号設備_研修センター_有楽町・副都心線信通区,信号設備_研修センター_有楽町・副都心線信通区,6,研修センター,265,NULL,NULL,68,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,19163,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,有楽町・副都心線,有楽町・副都心線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367500,有楽町・副都心線信通区,NULL,NULL,NULL
19164,軌道装置-レール絶縁_和光車両基地_有楽町・副都心線信通区,軌道装置-レール絶縁_和光車両基地_有楽町・副都心線信通区,6,和光車両基地,266,NULL,NULL,68,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,19164,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,有楽町・副都心線,有楽町・副都心線,05_信通【信号】,02_軌道装置,01_レール絶縁,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367500,有楽町・副都心線信通区,NULL,NULL,NULL
