検査設備ID,検査設備名,検査設備名_検査表表示用,設置場所ID,設置場所_計画表示用,設備カテゴリID,設置年月日,稼働年月日,所管区ID,実施基準対象設備フラグ,廃止フラグ,廃止日,休止フラグ,休止期間_開始日,休止期間_終了日,関連検査設備ID,補足,任意項目,直営保守,表示順,論理削除フラグ,更新日時,更新者ID,予備1,予備2,予備3,予備4,予備5,予備6,予備7,予備8,予備9,予備10,状態,ワークフローパターン,場所名称,路線名称,組織区分,レベル1,レベル2,レベル3,レベル4,レベル5,所管区コード1,所管区名称1,所管区コード2,所管区名称2,関連検査設備名称,氏名,変更理由
17961,信号設備_北綾瀬～綾瀬_千代田線信通区,信号設備_北綾瀬～綾瀬_千代田線信通区,5,北綾瀬～綾瀬,265,NULL,NULL,67,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,17961,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367400,千代田線信通区,NULL,NULL,NULL
17962,信号設備_綾瀬～北千住_千代田線信通区,信号設備_綾瀬～北千住_千代田線信通区,5,綾瀬～北千住,265,NULL,NULL,67,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,17962,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367400,千代田線信通区,NULL,NULL,NULL
17963,信号設備_北千住～町屋_千代田線信通区,信号設備_北千住～町屋_千代田線信通区,5,北千住～町屋,265,NULL,NULL,67,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,17963,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367400,千代田線信通区,NULL,NULL,NULL
17964,信号設備_町屋～西日暮里_千代田線信通区,信号設備_町屋～西日暮里_千代田線信通区,5,町屋～西日暮里,265,NULL,NULL,67,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,17964,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367400,千代田線信通区,NULL,NULL,NULL
17965,信号設備_西日暮里～千駄木_千代田線信通区,信号設備_西日暮里～千駄木_千代田線信通区,5,西日暮里～千駄木,265,NULL,NULL,67,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,17965,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367400,千代田線信通区,NULL,NULL,NULL
17966,信号設備_千駄木～根津_千代田線信通区,信号設備_千駄木～根津_千代田線信通区,5,千駄木～根津,265,NULL,NULL,67,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,17966,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367400,千代田線信通区,NULL,NULL,NULL
17967,信号設備_根津～湯島_千代田線信通区,信号設備_根津～湯島_千代田線信通区,5,根津～湯島,265,NULL,NULL,67,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,17967,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367400,千代田線信通区,NULL,NULL,NULL
17968,信号設備_湯島～新御茶ノ水_千代田線信通区,信号設備_湯島～新御茶ノ水_千代田線信通区,5,湯島～新御茶ノ水,265,NULL,NULL,67,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,17968,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367400,千代田線信通区,NULL,NULL,NULL
17969,信号設備_新御茶ノ水～大手町_千代田線信通区,信号設備_新御茶ノ水～大手町_千代田線信通区,5,新御茶ノ水～大手町,265,NULL,NULL,67,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,17969,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367400,千代田線信通区,NULL,NULL,NULL
17970,信号設備_大手町～二重橋前_千代田線信通区,信号設備_大手町～二重橋前_千代田線信通区,5,大手町～二重橋前,265,NULL,NULL,67,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,17970,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367400,千代田線信通区,NULL,NULL,NULL
17971,信号設備_二重橋前～日比谷_千代田線信通区,信号設備_二重橋前～日比谷_千代田線信通区,5,二重橋前～日比谷,265,NULL,NULL,67,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,17971,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367400,千代田線信通区,NULL,NULL,NULL
17972,信号設備_日比谷～霞ケ関_千代田線信通区,信号設備_日比谷～霞ケ関_千代田線信通区,5,日比谷～霞ケ関,265,NULL,NULL,67,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,17972,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367400,千代田線信通区,NULL,NULL,NULL
17973,信号設備_霞ケ関～国会議事堂前・８－９連絡線_千代田線信通区,信号設備_霞ケ関～国会議事堂前・８－９連絡線_千代田線信通区,5,霞ケ関～国会議事堂前・８－９連絡線,265,NULL,NULL,67,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,17973,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367400,千代田線信通区,NULL,NULL,NULL
17974,信号設備_国会議事堂前～赤坂_千代田線信通区,信号設備_国会議事堂前～赤坂_千代田線信通区,5,国会議事堂前～赤坂,265,NULL,NULL,67,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,17974,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367400,千代田線信通区,NULL,NULL,NULL
17975,信号設備_赤坂～乃木坂_千代田線信通区,信号設備_赤坂～乃木坂_千代田線信通区,5,赤坂～乃木坂,265,NULL,NULL,67,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,17975,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367400,千代田線信通区,NULL,NULL,NULL
17976,信号設備_乃木坂～表参道_千代田線信通区,信号設備_乃木坂～表参道_千代田線信通区,5,乃木坂～表参道,265,NULL,NULL,67,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,17976,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367400,千代田線信通区,NULL,NULL,NULL
17977,信号設備_表参道～明治神宮前_千代田線信通区,信号設備_表参道～明治神宮前_千代田線信通区,5,表参道～明治神宮前,265,NULL,NULL,67,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,17977,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367400,千代田線信通区,NULL,NULL,NULL
17978,信号設備_明治神宮前～代々木公園_千代田線信通区,信号設備_明治神宮前～代々木公園_千代田線信通区,5,明治神宮前～代々木公園,265,NULL,NULL,67,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,17978,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367400,千代田線信通区,NULL,NULL,NULL
17979,信号設備_北綾瀬駅_千代田線信通区,信号設備_北綾瀬駅_千代田線信通区,5,北綾瀬駅,265,NULL,NULL,67,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,17979,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367400,千代田線信通区,NULL,NULL,NULL
17980,信号設備_根津駅_千代田線信通区,信号設備_根津駅_千代田線信通区,5,根津駅,265,NULL,NULL,67,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,17980,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367400,千代田線信通区,NULL,NULL,NULL
17981,信号設備_二重橋前駅_千代田線信通区,信号設備_二重橋前駅_千代田線信通区,5,二重橋前駅,265,NULL,NULL,67,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,17981,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367400,千代田線信通区,NULL,NULL,NULL
17982,信号設備_乃木坂駅_千代田線信通区,信号設備_乃木坂駅_千代田線信通区,5,乃木坂駅,265,NULL,NULL,67,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,17982,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367400,千代田線信通区,NULL,NULL,NULL
17983,信号設備_北綾瀬駅構内_千代田線信通区,信号設備_北綾瀬駅構内_千代田線信通区,5,北綾瀬駅構内,265,NULL,NULL,67,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,17983,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367400,千代田線信通区,NULL,NULL,NULL
17984,信号設備_綾瀬駅構内①_千代田線信通区,信号設備_綾瀬駅構内①_千代田線信通区,5,綾瀬駅構内①,265,,,67,0,0,,0,,,NULL,,,0,17984,0,2023-09-16 09:19:31.133,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,53,千代田線,千代田線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367400,千代田線信通区,NULL,田口　和久,設置場所変更
17985,信号設備_北千住駅構内_千代田線信通区,信号設備_北千住駅構内_千代田線信通区,5,北千住駅構内,265,NULL,NULL,67,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,17985,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367400,千代田線信通区,NULL,NULL,NULL
17986,信号設備_町屋ホーム区間_千代田線信通区,信号設備_町屋ホーム区間_千代田線信通区,5,町屋ホーム区間,265,NULL,NULL,67,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,17986,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367400,千代田線信通区,NULL,NULL,NULL
17987,信号設備_西日暮里ホーム区間_千代田線信通区,信号設備_西日暮里ホーム区間_千代田線信通区,5,西日暮里ホーム区間,265,NULL,NULL,67,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,17987,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367400,千代田線信通区,NULL,NULL,NULL
17988,信号設備_千駄木ホーム区間_千代田線信通区,信号設備_千駄木ホーム区間_千代田線信通区,5,千駄木ホーム区間,265,NULL,NULL,67,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,17988,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367400,千代田線信通区,NULL,NULL,NULL
17989,信号設備_根津ホーム区間_千代田線信通区,信号設備_根津ホーム区間_千代田線信通区,5,根津ホーム区間,265,NULL,NULL,67,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,17989,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367400,千代田線信通区,NULL,NULL,NULL
17990,信号設備_湯島駅構内_千代田線信通区,信号設備_湯島駅構内_千代田線信通区,5,湯島駅構内,265,NULL,NULL,67,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,17990,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367400,千代田線信通区,NULL,NULL,NULL
17991,信号設備_新御茶ノ水ホーム区間_千代田線信通区,信号設備_新御茶ノ水ホーム区間_千代田線信通区,5,新御茶ノ水ホーム区間,265,NULL,NULL,67,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,17991,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367400,千代田線信通区,NULL,NULL,NULL
17992,信号設備_大手町駅構内_千代田線信通区,信号設備_大手町駅構内_千代田線信通区,5,大手町駅構内,265,NULL,NULL,67,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,17992,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367400,千代田線信通区,NULL,NULL,NULL
