検査設備ID,検査設備名,検査設備名_検査表表示用,設置場所ID,設置場所_計画表示用,設備カテゴリID,設置年月日,稼働年月日,所管区ID,実施基準対象設備フラグ,廃止フラグ,廃止日,休止フラグ,休止期間_開始日,休止期間_終了日,関連検査設備ID,補足,任意項目,直営保守,表示順,論理削除フラグ,更新日時,更新者ID,予備1,予備2,予備3,予備4,予備5,予備6,予備7,予備8,予備9,予備10,状態,ワークフローパターン,場所名称,路線名称,組織区分,レベル1,レベル2,レベル3,レベル4,レベル5,所管区コード1,所管区名称1,所管区コード2,所管区名称2,関連検査設備名称,氏名,変更理由
20757,ＡＴＯ装置-地上子_浦安_東西線信通区,ＡＴＯ装置-地上子_浦安_東西線信通区,4,浦安,292,NULL,NULL,66,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,20757,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,東西線,東西線,05_信通【信号】,06_ＡＴＯ装置,01_地上子,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367300,東西線信通区,NULL,NULL,NULL
20758,その他の装置-合図器-トイレ合図器_浦安_東西線信通区,その他の装置-合図器-トイレ合図器_浦安_東西線信通区,4,浦安,403,NULL,NULL,66,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,20758,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,東西線,東西線,06_信通【通信】,08_その他の装置,09_合図器,08_トイレ合図器,NULL,NULL,7,鉄道本部電気部信通区,1020367300,東西線信通区,NULL,NULL,NULL
20759,その他の装置-合図器-非常停止合図器_浦安_東西線信通区,その他の装置-合図器-非常停止合図器_浦安_東西線信通区,4,浦安,397,NULL,NULL,66,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,20759,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,東西線,東西線,06_信通【通信】,08_その他の装置,09_合図器,03_非常停止合図器,NULL,NULL,7,鉄道本部電気部信通区,1020367300,東西線信通区,NULL,NULL,NULL
20760,その他の装置-施設情報管理装置-現場装置_浦安_東西線信通区,その他の装置-施設情報管理装置-現場装置_浦安_東西線信通区,4,浦安,410,NULL,NULL,66,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,20760,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,東西線,東西線,06_信通【通信】,08_その他の装置,11_施設情報管理装置,02_現場装置,NULL,NULL,7,鉄道本部電気部信通区,1020367300,東西線信通区,NULL,NULL,NULL
20761,その他の装置-電源装置-無停電電源装置_浦安_東西線信通区,その他の装置-電源装置-無停電電源装置_浦安_東西線信通区,4,浦安,385,NULL,NULL,66,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,20761,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,東西線,東西線,06_信通【通信】,08_その他の装置,03_電源装置,03_無停電電源装置,NULL,NULL,7,鉄道本部電気部信通区,1020367300,東西線信通区,NULL,NULL,NULL
20762,その他の装置-標識装置-出発反応標識_浦安_東西線信通区,その他の装置-標識装置-出発反応標識_浦安_東西線信通区,4,浦安,306,NULL,NULL,66,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,20762,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,東西線,東西線,05_信通【信号】,11_その他の装置,04_標識装置,01_出発反応標識,NULL,NULL,7,鉄道本部電気部信通区,1020367300,東西線信通区,NULL,NULL,NULL
20763,その他の装置-風速監視装置-現場機器（送信装置、風向風速発信器）_浦安_東西線信通区,その他の装置-風速監視装置-現場機器（送信装置、風向風速発信器）_浦安_東西線信通区,4,浦安,393,NULL,NULL,66,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,20763,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,東西線,東西線,06_信通【通信】,08_その他の装置,07_風速監視装置,02_現場機器（送信装置、風向風速発信器）,NULL,NULL,7,鉄道本部電気部信通区,1020367300,東西線信通区,NULL,NULL,NULL
20764,その他の装置-列車接近警報装置_浦安_東西線信通区,その他の装置-列車接近警報装置_浦安_東西線信通区,4,浦安,317,NULL,NULL,66,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,20764,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,東西線,東西線,05_信通【信号】,11_その他の装置,11_列車接近警報装置,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367300,東西線信通区,NULL,NULL,NULL
20765,その他の装置-列車先駅発車表示装置_浦安_東西線信通区,その他の装置-列車先駅発車表示装置_浦安_東西線信通区,4,浦安,320,NULL,NULL,66,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,20765,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,東西線,東西線,05_信通【信号】,11_その他の装置,14_列車先駅発車表示装置,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367300,東西線信通区,NULL,NULL,NULL
20766,火災対策設備-沿線電話機_浦安_東西線信通区,火災対策設備-沿線電話機_浦安_東西線信通区,4,浦安,346,NULL,NULL,66,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,20766,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,東西線,東西線,06_信通【通信】,04_火災対策設備,01_沿線電話機,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367300,東西線信通区,NULL,NULL,NULL
