検査設備ID,検査設備名,検査設備名_検査表表示用,設置場所ID,設置場所_計画表示用,設備カテゴリID,設置年月日,稼働年月日,所管区ID,実施基準対象設備フラグ,廃止フラグ,廃止日,休止フラグ,休止期間_開始日,休止期間_終了日,関連検査設備ID,補足,任意項目,直営保守,表示順,論理削除フラグ,更新日時,更新者ID,予備1,予備2,予備3,予備4,予備5,予備6,予備7,予備8,予備9,予備10,状態,ワークフローパターン,場所名称,路線名称,組織区分,レベル1,レベル2,レベル3,レベル4,レベル5,所管区コード1,所管区名称1,所管区コード2,所管区名称2,関連検査設備名称,氏名,変更理由
6218,受送・配電線路設備-設備全般_綾瀬車両基地_千代田線電機区,受送・配電線路設備-設備全般_綾瀬車両基地_千代田線電機区,5,綾瀬車両基地,105,NULL,NULL,59,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,6218,0,2024-01-01 11:34:41.697,335,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366400,千代田線電機区,NULL,新井　宏樹,NULL
6219,受送・配電線路設備-設備全般_綾瀬車両基地～北綾瀬Ａ線_千代田線電機区,受送・配電線路設備-設備全般_綾瀬車両基地～北綾瀬Ａ線_千代田線電機区,5,綾瀬車両基地～北綾瀬Ａ線,105,NULL,NULL,59,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,6219,0,2024-01-01 11:34:41.697,335,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366400,千代田線電機区,NULL,新井　宏樹,NULL
6220,受送・配電線路設備-設備全般_北綾瀬駅～綾瀬Ａ線_千代田線電機区,受送・配電線路設備-設備全般_北綾瀬駅～綾瀬Ａ線_千代田線電機区,5,北綾瀬駅～綾瀬Ａ線,105,NULL,NULL,59,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,6220,0,2024-01-01 11:34:41.700,335,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366400,千代田線電機区,NULL,新井　宏樹,NULL
6221,受送・配電線路設備-設備全般_綾瀬駅～北千住坑口Ａ線_千代田線電機区,受送・配電線路設備-設備全般_綾瀬駅～北千住坑口Ａ線_千代田線電機区,5,綾瀬駅～北千住坑口Ａ線,105,NULL,NULL,59,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,6221,0,2024-01-01 11:34:41.700,335,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366400,千代田線電機区,NULL,新井　宏樹,NULL
6222,受送・配電線路設備-設備全般_北千住坑口～北千住Ａ線_千代田線電機区,受送・配電線路設備-設備全般_北千住坑口～北千住Ａ線_千代田線電機区,5,北千住坑口～北千住Ａ線,105,NULL,NULL,59,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,6222,0,2024-01-01 11:34:41.700,335,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366400,千代田線電機区,NULL,新井　宏樹,NULL
6223,受送・配電線路設備-設備全般_北千住駅～町屋Ａ線_千代田線電機区,受送・配電線路設備-設備全般_北千住駅～町屋Ａ線_千代田線電機区,5,北千住駅～町屋Ａ線,105,NULL,NULL,59,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,6223,0,2024-01-01 11:34:41.700,335,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366400,千代田線電機区,NULL,新井　宏樹,NULL
6224,受送・配電線路設備-設備全般_町屋駅～西日暮里Ａ線_千代田線電機区,受送・配電線路設備-設備全般_町屋駅～西日暮里Ａ線_千代田線電機区,5,町屋駅～西日暮里Ａ線,105,NULL,NULL,59,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,6224,0,2024-01-01 11:34:41.700,335,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366400,千代田線電機区,NULL,新井　宏樹,NULL
6225,受送・配電線路設備-設備全般_西日暮里駅～千駄木Ａ線_千代田線電機区,受送・配電線路設備-設備全般_西日暮里駅～千駄木Ａ線_千代田線電機区,5,西日暮里駅～千駄木Ａ線,105,NULL,NULL,59,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,6225,0,2024-01-01 11:34:41.703,335,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366400,千代田線電機区,NULL,新井　宏樹,NULL
6226,受送・配電線路設備-設備全般_千駄木駅～根津Ａ線_千代田線電機区,受送・配電線路設備-設備全般_千駄木駅～根津Ａ線_千代田線電機区,5,千駄木駅～根津Ａ線,105,NULL,NULL,59,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,6226,0,2024-01-01 11:34:41.703,335,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366400,千代田線電機区,NULL,新井　宏樹,NULL
6227,受送・配電線路設備-設備全般_根津駅～湯島Ａ線_千代田線電機区,受送・配電線路設備-設備全般_根津駅～湯島Ａ線_千代田線電機区,5,根津駅～湯島Ａ線,105,NULL,NULL,59,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,6227,0,2024-01-01 11:34:41.703,335,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,千代田線,千代田線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366400,千代田線電機区,NULL,新井　宏樹,NULL
