検査設備ID,検査設備名,検査設備名_検査表表示用,設置場所ID,設置場所_計画表示用,設備カテゴリID,設置年月日,稼働年月日,所管区ID,実施基準対象設備フラグ,廃止フラグ,廃止日,休止フラグ,休止期間_開始日,休止期間_終了日,関連検査設備ID,補足,任意項目,直営保守,表示順,論理削除フラグ,更新日時,更新者ID,予備1,予備2,予備3,予備4,予備5,予備6,予備7,予備8,予備9,予備10,状態,ワークフローパターン,場所名称,路線名称,組織区分,レベル1,レベル2,レベル3,レベル4,レベル5,所管区コード1,所管区名称1,所管区コード2,所管区名称2,関連検査設備名称,氏名,変更理由
13001,信号設備_池袋～新大塚_丸ノ内線信通区,信号設備_池袋～新大塚_丸ノ内線信通区,2,池袋～新大塚,265,NULL,NULL,64,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,13001,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,丸ノ内線,丸ノ内線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367100,丸ノ内線信通区,NULL,NULL,NULL
13002,信号設備_新大塚～茗荷谷_丸ノ内線信通区,信号設備_新大塚～茗荷谷_丸ノ内線信通区,2,新大塚～茗荷谷,265,NULL,NULL,64,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,13002,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,丸ノ内線,丸ノ内線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367100,丸ノ内線信通区,NULL,NULL,NULL
13003,信号設備_茗荷谷～後楽園_丸ノ内線信通区,信号設備_茗荷谷～後楽園_丸ノ内線信通区,2,茗荷谷～後楽園,265,NULL,NULL,64,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,13003,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,丸ノ内線,丸ノ内線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367100,丸ノ内線信通区,NULL,NULL,NULL
13004,信号設備_後楽園～本郷三丁目_丸ノ内線信通区,信号設備_後楽園～本郷三丁目_丸ノ内線信通区,2,後楽園～本郷三丁目,265,NULL,NULL,64,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,13004,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,丸ノ内線,丸ノ内線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367100,丸ノ内線信通区,NULL,NULL,NULL
13005,信号設備_本郷三丁目～御茶ノ水_丸ノ内線信通区,信号設備_本郷三丁目～御茶ノ水_丸ノ内線信通区,2,本郷三丁目～御茶ノ水,265,NULL,NULL,64,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,13005,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,丸ノ内線,丸ノ内線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367100,丸ノ内線信通区,NULL,NULL,NULL
13006,信号設備_御茶ノ水～淡路町_丸ノ内線信通区,信号設備_御茶ノ水～淡路町_丸ノ内線信通区,2,御茶ノ水～淡路町,265,NULL,NULL,64,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,13006,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,丸ノ内線,丸ノ内線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367100,丸ノ内線信通区,NULL,NULL,NULL
13007,信号設備_淡路町～大手町_丸ノ内線信通区,信号設備_淡路町～大手町_丸ノ内線信通区,2,淡路町～大手町,265,NULL,NULL,64,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,13007,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,丸ノ内線,丸ノ内線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367100,丸ノ内線信通区,NULL,NULL,NULL
13008,信号設備_大手町～東京_丸ノ内線信通区,信号設備_大手町～東京_丸ノ内線信通区,2,大手町～東京,265,NULL,NULL,64,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,13008,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,丸ノ内線,丸ノ内線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367100,丸ノ内線信通区,NULL,NULL,NULL
13009,信号設備_東京～銀座_丸ノ内線信通区,信号設備_東京～銀座_丸ノ内線信通区,2,東京～銀座,265,NULL,NULL,64,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,13009,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,丸ノ内線,丸ノ内線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367100,丸ノ内線信通区,NULL,NULL,NULL
13010,信号設備_銀座～霞ケ関_丸ノ内線信通区,信号設備_銀座～霞ケ関_丸ノ内線信通区,2,銀座～霞ケ関,265,NULL,NULL,64,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,13010,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,丸ノ内線,丸ノ内線,05_信通【信号】,01_信号設備,NULL,NULL,NULL,NULL,7,鉄道本部電気部信通区,1020367100,丸ノ内線信通区,NULL,NULL,NULL
