検査設備ID,検査設備名,検査設備名_検査表表示用,設置場所ID,設置場所_計画表示用,設備カテゴリID,設置年月日,稼働年月日,所管区ID,実施基準対象設備フラグ,廃止フラグ,廃止日,休止フラグ,休止期間_開始日,休止期間_終了日,関連検査設備ID,補足,任意項目,直営保守,表示順,論理削除フラグ,更新日時,更新者ID,予備1,予備2,予備3,予備4,予備5,予備6,予備7,予備8,予備9,予備10,状態,ワークフローパターン,場所名称,路線名称,組織区分,レベル1,レベル2,レベル3,レベル4,レベル5,所管区コード1,所管区名称1,所管区コード2,所管区名称2,関連検査設備名称,氏名,変更理由
4260,受送・配電線路設備-設備全般_中野坑口～落合駅Ａ線_東西線電機区,受送・配電線路設備-設備全般_中野坑口～落合駅Ａ線_東西線電機区,4,中野坑口～落合駅Ａ線,105,,,58,0,0,,0,,,NULL,,,0,4260,0,2024-01-31 14:26:39.860,399,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,130,東西線,東西線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366300,東西線電機区,NULL,下高牧　真弥,区間名称変更のため
4261,受送・配電線路設備-設備全般_落合～高田馬場駅Ａ線_東西線電機区,受送・配電線路設備-設備全般_落合～高田馬場駅Ａ線_東西線電機区,4,落合～高田馬場駅Ａ線,105,NULL,NULL,58,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,4261,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,東西線,東西線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366300,東西線電機区,NULL,NULL,NULL
4262,受送・配電線路設備-設備全般_高田馬場～早稲田駅Ａ線_東西線電機区,受送・配電線路設備-設備全般_高田馬場～早稲田駅Ａ線_東西線電機区,4,高田馬場～早稲田駅Ａ線,105,NULL,NULL,58,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,4262,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,東西線,東西線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366300,東西線電機区,NULL,NULL,NULL
4263,受送・配電線路設備-設備全般_早稲田～神楽坂駅Ａ線_東西線電機区,受送・配電線路設備-設備全般_早稲田～神楽坂駅Ａ線_東西線電機区,4,早稲田～神楽坂駅Ａ線,105,NULL,NULL,58,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,4263,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,東西線,東西線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366300,東西線電機区,NULL,NULL,NULL
4264,受送・配電線路設備-設備全般_神楽坂～飯田橋駅Ａ線_東西線電機区,受送・配電線路設備-設備全般_神楽坂～飯田橋駅Ａ線_東西線電機区,4,神楽坂～飯田橋駅Ａ線,105,NULL,NULL,58,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,4264,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,東西線,東西線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366300,東西線電機区,NULL,NULL,NULL
4265,受送・配電線路設備-設備全般_飯田橋～九段下駅Ａ線_東西線電機区,受送・配電線路設備-設備全般_飯田橋～九段下駅Ａ線_東西線電機区,4,飯田橋～九段下駅Ａ線,105,NULL,NULL,58,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,4265,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,東西線,東西線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366300,東西線電機区,NULL,NULL,NULL
4266,受送・配電線路設備-設備全般_九段下～竹橋駅Ａ線_東西線電機区,受送・配電線路設備-設備全般_九段下～竹橋駅Ａ線_東西線電機区,4,九段下～竹橋駅Ａ線,105,NULL,NULL,58,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,4266,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,東西線,東西線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366300,東西線電機区,NULL,NULL,NULL
4267,受送・配電線路設備-設備全般_竹橋～大手町駅Ａ線_東西線電機区,受送・配電線路設備-設備全般_竹橋～大手町駅Ａ線_東西線電機区,4,竹橋～大手町駅Ａ線,105,NULL,NULL,58,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,4267,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,東西線,東西線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366300,東西線電機区,NULL,NULL,NULL
4268,受送・配電線路設備-設備全般_大手町～日本橋駅Ａ線_東西線電機区,受送・配電線路設備-設備全般_大手町～日本橋駅Ａ線_東西線電機区,4,大手町～日本橋駅Ａ線,105,NULL,NULL,58,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,4268,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,東西線,東西線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366300,東西線電機区,NULL,NULL,NULL
4269,受送・配電線路設備-設備全般_日本橋～茅場町駅Ａ線_東西線電機区,受送・配電線路設備-設備全般_日本橋～茅場町駅Ａ線_東西線電機区,4,日本橋～茅場町駅Ａ線,105,NULL,NULL,58,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,4269,0,2023-04-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,東西線,東西線,02_電力【電路】,01_受送・配電線路設備,01_設備全般,NULL,NULL,NULL,6,鉄道本部電気部電機区,1020366300,東西線電機区,NULL,NULL,NULL
